Time elapsed: 0.029184

INDEX: 0	VALUE:0

INDEX: 1	VALUE:1

INDEX: 2	VALUE:2

INDEX: 3	VALUE:3

INDEX: 4	VALUE:4

INDEX: 5	VALUE:5

INDEX: 6	VALUE:6

INDEX: 7	VALUE:7

INDEX: 8	VALUE:8

INDEX: 9	VALUE:9

INDEX: 10	VALUE:10

INDEX: 11	VALUE:11

INDEX: 12	VALUE:12

INDEX: 13	VALUE:13

INDEX: 14	VALUE:14

INDEX: 15	VALUE:15

INDEX: 16	VALUE:16

INDEX: 17	VALUE:17

INDEX: 18	VALUE:18

INDEX: 19	VALUE:19

INDEX: 20	VALUE:20

INDEX: 21	VALUE:21

INDEX: 22	VALUE:22

INDEX: 23	VALUE:23

INDEX: 24	VALUE:24

INDEX: 25	VALUE:25

INDEX: 26	VALUE:26

INDEX: 27	VALUE:27

INDEX: 28	VALUE:28

INDEX: 29	VALUE:29

INDEX: 30	VALUE:30

INDEX: 31	VALUE:31

INDEX: 32	VALUE:32

INDEX: 33	VALUE:33

INDEX: 34	VALUE:34

INDEX: 35	VALUE:35

INDEX: 36	VALUE:36

INDEX: 37	VALUE:37

INDEX: 38	VALUE:38

INDEX: 39	VALUE:39

INDEX: 40	VALUE:40

INDEX: 41	VALUE:41

INDEX: 42	VALUE:42

INDEX: 43	VALUE:43

INDEX: 44	VALUE:44

INDEX: 45	VALUE:45

INDEX: 46	VALUE:46

INDEX: 47	VALUE:47

INDEX: 48	VALUE:48

INDEX: 49	VALUE:49

INDEX: 50	VALUE:50

INDEX: 51	VALUE:51

INDEX: 52	VALUE:52

INDEX: 53	VALUE:53

INDEX: 54	VALUE:54

INDEX: 55	VALUE:55

INDEX: 56	VALUE:56

INDEX: 57	VALUE:57

INDEX: 58	VALUE:58

INDEX: 59	VALUE:59

INDEX: 60	VALUE:60

INDEX: 61	VALUE:61

INDEX: 62	VALUE:62

INDEX: 63	VALUE:63

INDEX: 64	VALUE:64

INDEX: 65	VALUE:65

INDEX: 66	VALUE:66

INDEX: 67	VALUE:67

INDEX: 68	VALUE:68

INDEX: 69	VALUE:69

INDEX: 70	VALUE:70

INDEX: 71	VALUE:71

INDEX: 72	VALUE:72

INDEX: 73	VALUE:73

INDEX: 74	VALUE:74

INDEX: 75	VALUE:75

INDEX: 76	VALUE:76

INDEX: 77	VALUE:77

INDEX: 78	VALUE:78

INDEX: 79	VALUE:79

INDEX: 80	VALUE:80

INDEX: 81	VALUE:81

INDEX: 82	VALUE:82

INDEX: 83	VALUE:83

INDEX: 84	VALUE:84

INDEX: 85	VALUE:85

INDEX: 86	VALUE:86

INDEX: 87	VALUE:87

INDEX: 88	VALUE:88

INDEX: 89	VALUE:89

INDEX: 90	VALUE:90

INDEX: 91	VALUE:91

INDEX: 92	VALUE:92

INDEX: 93	VALUE:93

INDEX: 94	VALUE:94

INDEX: 95	VALUE:95

INDEX: 96	VALUE:96

INDEX: 97	VALUE:97

INDEX: 98	VALUE:98

INDEX: 99	VALUE:99

INDEX: 100	VALUE:100

INDEX: 101	VALUE:101

INDEX: 102	VALUE:102

INDEX: 103	VALUE:103

INDEX: 104	VALUE:104

INDEX: 105	VALUE:105

INDEX: 106	VALUE:106

INDEX: 107	VALUE:107

INDEX: 108	VALUE:108

INDEX: 109	VALUE:109

INDEX: 110	VALUE:110

INDEX: 111	VALUE:111

INDEX: 112	VALUE:112

INDEX: 113	VALUE:113

INDEX: 114	VALUE:114

INDEX: 115	VALUE:115

INDEX: 116	VALUE:116

INDEX: 117	VALUE:117

INDEX: 118	VALUE:118

INDEX: 119	VALUE:119

INDEX: 120	VALUE:120

INDEX: 121	VALUE:121

INDEX: 122	VALUE:122

INDEX: 123	VALUE:123

INDEX: 124	VALUE:124

INDEX: 125	VALUE:125

INDEX: 126	VALUE:126

INDEX: 127	VALUE:127
