Time elapsed: 0.029664

INDEX: 0	VALUE:-1

INDEX: 1	VALUE:0

INDEX: 2	VALUE:1

INDEX: 3	VALUE:2

INDEX: 4	VALUE:3

INDEX: 5	VALUE:4

INDEX: 6	VALUE:5

INDEX: 7	VALUE:6

INDEX: 8	VALUE:7

INDEX: 9	VALUE:8

INDEX: 10	VALUE:9

INDEX: 11	VALUE:10

INDEX: 12	VALUE:11

INDEX: 13	VALUE:12

INDEX: 14	VALUE:13

INDEX: 15	VALUE:14

INDEX: 16	VALUE:15

INDEX: 17	VALUE:16

INDEX: 18	VALUE:17

INDEX: 19	VALUE:18

INDEX: 20	VALUE:19

INDEX: 21	VALUE:20

INDEX: 22	VALUE:21

INDEX: 23	VALUE:22

INDEX: 24	VALUE:23

INDEX: 25	VALUE:24

INDEX: 26	VALUE:25

INDEX: 27	VALUE:26

INDEX: 28	VALUE:27

INDEX: 29	VALUE:28

INDEX: 30	VALUE:29

INDEX: 31	VALUE:30

INDEX: 32	VALUE:31

INDEX: 33	VALUE:32

INDEX: 34	VALUE:33

INDEX: 35	VALUE:34

INDEX: 36	VALUE:35

INDEX: 37	VALUE:36

INDEX: 38	VALUE:37

INDEX: 39	VALUE:38

INDEX: 40	VALUE:39

INDEX: 41	VALUE:40

INDEX: 42	VALUE:41

INDEX: 43	VALUE:42

INDEX: 44	VALUE:43

INDEX: 45	VALUE:44

INDEX: 46	VALUE:45

INDEX: 47	VALUE:46

INDEX: 48	VALUE:47

INDEX: 49	VALUE:48

INDEX: 50	VALUE:49

INDEX: 51	VALUE:50

INDEX: 52	VALUE:51

INDEX: 53	VALUE:52

INDEX: 54	VALUE:53

INDEX: 55	VALUE:54

INDEX: 56	VALUE:55

INDEX: 57	VALUE:56

INDEX: 58	VALUE:57

INDEX: 59	VALUE:58

INDEX: 60	VALUE:59

INDEX: 61	VALUE:60

INDEX: 62	VALUE:61

INDEX: 63	VALUE:62

INDEX: 64	VALUE:63

INDEX: 65	VALUE:64

INDEX: 66	VALUE:65

INDEX: 67	VALUE:66

INDEX: 68	VALUE:67

INDEX: 69	VALUE:68

INDEX: 70	VALUE:69

INDEX: 71	VALUE:70

INDEX: 72	VALUE:71

INDEX: 73	VALUE:72

INDEX: 74	VALUE:73

INDEX: 75	VALUE:74

INDEX: 76	VALUE:75

INDEX: 77	VALUE:76

INDEX: 78	VALUE:77

INDEX: 79	VALUE:78

INDEX: 80	VALUE:79

INDEX: 81	VALUE:80

INDEX: 82	VALUE:81

INDEX: 83	VALUE:82

INDEX: 84	VALUE:83

INDEX: 85	VALUE:84

INDEX: 86	VALUE:85

INDEX: 87	VALUE:86

INDEX: 88	VALUE:87

INDEX: 89	VALUE:88

INDEX: 90	VALUE:89

INDEX: 91	VALUE:90

INDEX: 92	VALUE:91

INDEX: 93	VALUE:92

INDEX: 94	VALUE:93

INDEX: 95	VALUE:94

INDEX: 96	VALUE:95

INDEX: 97	VALUE:96

INDEX: 98	VALUE:97

INDEX: 99	VALUE:98

INDEX: 100	VALUE:99

INDEX: 101	VALUE:100

INDEX: 102	VALUE:101

INDEX: 103	VALUE:102

INDEX: 104	VALUE:103

INDEX: 105	VALUE:104

INDEX: 106	VALUE:105

INDEX: 107	VALUE:106

INDEX: 108	VALUE:107

INDEX: 109	VALUE:108

INDEX: 110	VALUE:109

INDEX: 111	VALUE:110

INDEX: 112	VALUE:111

INDEX: 113	VALUE:112

INDEX: 114	VALUE:113

INDEX: 115	VALUE:114

INDEX: 116	VALUE:115

INDEX: 117	VALUE:116

INDEX: 118	VALUE:117

INDEX: 119	VALUE:118

INDEX: 120	VALUE:119

INDEX: 121	VALUE:120

INDEX: 122	VALUE:121

INDEX: 123	VALUE:122

INDEX: 124	VALUE:123

INDEX: 125	VALUE:124

INDEX: 126	VALUE:125

INDEX: 127	VALUE:126
